#TEXT/SIMPLE
# KEV PHOTONS/S/CM**2/KEV
1.5010000000000e-01 0.004890138
1.5020000000000e-01 0.004983811
1.5030000000000e-01 0.004870554
1.5040000000000e-01 0.004864808
1.5050000000000e-01 0.005038292
1.5060000000000e-01 0.004906096
1.5070000000000e-01 0.004906567
1.5080000000000e-01 0.004891870
1.5090000000000e-01 0.005220374
1.5100000000000e-01 0.006384289
1.5110000000000e-01 0.004868354
1.5120000000000e-01 0.004944792
1.5130000000000e-01 0.004882660
1.5140000000000e-01 0.006959711
1.5150000000000e-01 0.004771856
1.5160000000000e-01 0.004805841
1.5170000000000e-01 0.004903671
1.5180000000000e-01 0.01080875
1.5190000000000e-01 0.004744504
1.5200000000000e-01 0.004826163
1.5210000000000e-01 0.005395035
1.5220000000000e-01 0.004807252
1.5230000000000e-01 0.005604703
1.5240000000000e-01 0.005018282
1.5250000000000e-01 0.004868550
1.5260000000000e-01 0.004892634
1.5270000000000e-01 0.005214759
1.5280000000000e-01 0.004893314
1.5290000000000e-01 0.004789051
1.5300000000000e-01 0.005075928
1.5310000000000e-01 0.005236239
1.5320000000000e-01 0.004792626
1.5330000000000e-01 0.004851711
1.5340000000000e-01 0.005280447
1.5350000000000e-01 0.004794906
1.5360000000000e-01 0.004746610
1.5370000000000e-01 0.004817533
1.5380000000000e-01 0.004688077
1.5390000000000e-01 0.004799646
1.5400000000000e-01 0.01125166
1.5410000000000e-01 0.005042227
1.5420000000000e-01 0.004736959
1.5430000000000e-01 0.005526178
1.5440000000000e-01 0.004663331
1.5450000000000e-01 0.004674360
1.5460000000000e-01 0.005205895
1.5470000000000e-01 0.004883816
1.5480000000000e-01 0.004638725
1.5490000000000e-01 0.004650458
1.5500000000000e-01 0.004676226
1.5510000000000e-01 0.006047148
1.5520000000000e-01 0.004622173
1.5530000000000e-01 0.004742880
1.5540000000000e-01 0.004698018
1.5550000000000e-01 0.004752022
1.5560000000000e-01 0.004626653
1.5570000000000e-01 0.004990609
1.5580000000000e-01 0.004607864
1.5590000000000e-01 0.005627901
1.5600000000000e-01 0.004586587
1.5610000000000e-01 0.004587212
1.5620000000000e-01 0.004593825
1.5630000000000e-01 0.004646734
1.5640000000000e-01 0.004853814
